id,nb.rb,exposure,year
CvTdv3,NB,0.5,2020
KTxKnv,RB,1,2018
LBxuFG,RB,1,2020
hcgoRE,NB,1,2018
0dthJ3,NB,1,2018
3gDC3n,RB,0.5,2022
bjpJox,NB,1,2020
HVi1fx,RB,1,2020
WldnzN,NB,1,2018
kdQODj,NB,0.5,2022
2bGbyn,RB,1,2020
1BQoRG,NB,0.5,2021
ybl4qX,NB,0.5,2019
Cnn0p0,RB,0.5,2019
AhowZ3,RB,1,2021
IuTL4K,NB,1,2022
ZLyFNR,RB,1,2020
pkVNyZ,RB,0.8333333333333334,2021
2sGSeG,RB,1,2018
3uwHV2,RB,1,2021
waSryj,RB,1,2021
yAqULl,RB,1,2018
1Ina4D,RB,1,2018
Cp2JrN,NB,0.5,2020
yyuQfQ,RB,1,2022
iBYTEv,RB,0.5,2020
KDkmFf,RB,0.5,2019
eDZHUa,RB,1,2021
i33xfv,RB,0.8333333333333334,2021
gIeAQQ,RB,0.5,2019
01mxeu,RB,0.5,2020
tbHmLm,RB,1,2018
Z1yBKI,RB,1,2018
2sQjdN,RB,1,2020
tZbBol,RB,0.5,2022
EIg0qE,NB,0.5,2018
wZozoo,RB,1,2019
iO0ykc,NB,1,2018
gnEExY,RB,1,2019
4Tfwsz,RB,0.5,2019
VAlNjA,NB,0.4166666666666667,2021
ucjgFE,NB,1,2022
zZlIFg,RB,0.5,2021
bbHuYB,RB,1,2019
g1BM4U,NB,1,2018
DEgVwU,RB,1,2022
UpRmsK,RB,0.3333333333333333,2020
UN4vSx,RB,0.9166666666666666,2020
fJskt0,RB,1,2022
PrlhzZ,RB,1,2020
xQYDmL,RB,0.5,2020
SfA4Cb,RB,1,2019
oqeOJr,NB,1,2021
POIpC1,RB,0.5,2020
O0CJhM,NB,1,2020
OPNNIS,RB,0.5,2022
0vllpw,RB,1,2020
papH3G,RB,0.5,2020
IL1fB0,NB,1,2022
pjzR1q,NB,1,2018
JDZZou,RB,1,2021
HMRIbp,RB,1,2022
tfGFqA,NB,0.9166666666666666,2020
Ed0PN4,RB,1,2021
BTMbTt,NB,0.16666666666666666,2018
nqDynC,RB,1,2021
NcNBak,RB,0.5,2022
ZRQDiy,RB,1,2018
PZHoVh,RB,1,2022
cRr2uX,RB,1,2018
HHujHd,RB,1,2018
KuTCsi,NB,0.5,2022
QVuK2j,NB,0.5,2019
dVNBsa,NB,0.5,2020
OLSfJw,RB,1,2019
mKKfIE,RB,1,2018
qR0cLB,RB,1,2019
ZJYmUE,RB,0.9166666666666666,2018
SdpKXS,RB,0.5,2021
yA4Pg0,RB,0.5,2018
oDPYs1,RB,0.5,2020
dmQgvD,RB,1,2018
sIsCdu,RB,1,2021
r0wia4,RB,0.5,2021
gG3nP1,RB,1,2018
Z1pNP3,NB,0.25,2022
oceBEZ,RB,0.6666666666666666,2021
oWJ3RZ,RB,1,2022
4DLJsl,RB,0.6666666666666666,2019
bKQMZV,RB,1,2019
LIwKxe,NB,1,2022
sJBLMm,RB,1,2018
ukRDNA,RB,1,2021
NyiUQQ,RB,0.8333333333333334,2020
nuG1IC,RB,1,2019
BNkbBg,NB,1,2018
c1GZDG,RB,1,2021
KRjbWn,NB,0.5,2021
SYMBVZ,RB,0.5,2022
z1riOH,RB,1,2022
POoHyf,RB,1,2022
GSmBsw,RB,1,2021
DHS0LR,NB,0.5,2020
lsu3oE,RB,1,2020
sx2nUH,NB,1,2021
zkps3l,RB,0.5,2021
ohNAXb,RB,1,2018
TLZOX4,RB,1,2019
QIjRI4,RB,1,2018
fR0e3R,RB,1,2022
jYqcy1,RB,1,2022
cXDnM1,RB,0.5,2018
jguHcn,NB,1,2021
APLCxn,RB,0.5,2022
KHiYvQ,RB,1,2022
lVd1SA,RB,1,2022
0xejja,RB,1,2022
sdmDQO,RB,1,2022
OiOgw2,NB,0.5,2020
YNSCvE,RB,1,2018
F40GZp,RB,1,2018
rbXuJQ,NB,1,2020
qg20BZ,NB,0.5,2020
eAn2XK,RB,0.5,2022
IZztar,RB,1,2021
LPAcjK,RB,1,2019
IPgQPj,RB,0.5,2020
Wk4OuI,RB,1,2021
ddQIwq,NB,1,2020
fWnRQw,RB,1,2018
ppikty,RB,1,2022
gRIZ4J,RB,0.5,2019
G1licM,RB,0.25,2021
UvSHf2,RB,0.5,2021
YWgrfF,NB,0.75,2018
flCME0,RB,0.5,2021
2BqdWC,NB,1,2022
UCYRDn,RB,1,2021
Twk3Oc,RB,0.5,2021
ccX4Ys,NB,1,2018
kOXDSI,RB,1,2020
nSbrgS,RB,0.5,2018
FhTFhG,RB,1,2018
sgIfWL,RB,1,2020
zHnWQ1,RB,1,2022
FgqX4m,RB,1,2019
La3XDo,RB,1,2018
rZNkeN,RB,0.5,2021
Nv3pyZ,RB,1,2021
1csJaZ,NB,0.5,2019
aPxT3j,NB,1,2019
1Y0Das,RB,1,2022
H0Ev2r,RB,1,2020
XQjjvO,RB,0.5,2020
mYxB31,RB,0.5,2021
UpqOph,NB,1,2018
LITDBx,NB,1,2022
xodCKa,NB,1,2019
QjBhB3,NB,0.4166666666666667,2018
KLlqsY,NB,0.5,2021
cjzFPR,NB,0.5,2021
pSxdMk,RB,0.5,2022
spUTqj,NB,0.3333333333333333,2018
FmPNPC,RB,0.5,2020
2NSVQY,NB,1,2022
gQzXRv,RB,0.75,2021
oB2gZA,RB,0.5,2021
VQdocG,NB,0.5,2022
lhdr0A,NB,0.25,2021
wMIwZh,RB,1,2018
oZZI4k,NB,1,2022
MUk0Tw,RB,1,2018
TDxEpV,NB,0.5,2021
PWDfjZ,NB,1,2020
WIre0z,RB,1,2019
OtOpzK,NB,1,2020
KlhIQf,NB,1,2021
gktuCk,RB,1,2019
AGFsgL,RB,0.16666666666666666,2021
0uMS41,RB,1,2019
hqAK3t,NB,0.5,2020
FRAoCL,RB,0.9166666666666666,2020
a2TVvQ,RB,0.5,2018
CyiRje,RB,1,2018
0d1xxi,RB,1,2022
FAEkkL,RB,1,2019
ZpuHkp,NB,0.25,2022
Meuhrz,NB,0.5,2019
vHUHMM,RB,1,2022
JvrJBG,NB,1,2021
hSBmTh,RB,1,2021
MLyrfW,RB,0.5,2020
iSzagg,NB,0.6666666666666666,2020
2tbaMT,NB,1,2021
zobCXx,RB,1,2022
QKLyCn,RB,1,2022
XvmJaK,NB,0.5,2020
UfCJsf,RB,1,2019
XvAfj4,NB,0.5,2022
lFiePb,RB,1,2020
bAYl3d,RB,0.5,2020
bxoiyN,RB,1,2019
gUECgQ,RB,1,2021
TEsGzO,RB,0.5,2022
Mnz3ud,NB,0.5,2021
llrQgE,NB,1,2022
XllilB,NB,0.5,2019
QgHvhi,RB,1,2018
vDDqXx,RB,1,2022
gSRBph,NB,1,2019
rTIyGF,RB,1,2019
jaFysA,NB,0.5,2021
arPztg,RB,0.08333333333333333,2022
ZhXOih,RB,0.5,2022
cDT11B,RB,0.5,2019
XRZBAX,RB,0.3333333333333333,2021
ZabwVf,RB,1,2022
OmFgfC,RB,1,2021
HjBnza,RB,0.08333333333333333,2022
Ez4fcY,NB,0.5,2021
4XQIPW,NB,1,2021
0Vcebs,RB,0.5833333333333334,2021
QekFWn,RB,1,2022
yMZmJQ,RB,0.5,2020
pHQgHg,RB,0.5,2019
uDxyBr,RB,1,2021
aeTqXS,RB,0.5833333333333334,2019
GFXbUl,RB,1,2020
hxGKdV,RB,1,2019
eXMKPK,RB,1,2022
dcFPBm,NB,0.9166666666666666,2022
hA010H,RB,1,2022
4hmAsq,RB,1,2020
XWmfBP,NB,0.5,2022
txqUvT,RB,1,2020
oWpVBx,NB,0.5,2019
TdSnok,RB,0.5,2021
Yk0rdN,NB,0.5,2021
IOKa3N,RB,1,2022
QliEqa,RB,0.6666666666666666,2019
GUrShw,RB,1,2020
BlPpCi,RB,1,2018
d1kphx,RB,1,2018
NDUFAy,NB,1,2018
iPUxbO,RB,1,2022
tIwzz4,NB,1,2019
OcjDCj,RB,1,2018
kDh0Kc,NB,1,2020
tKd0r2,NB,1,2021
xwTGpM,RB,0.5,2018
ElyDDi,RB,1,2019
rSrru1,RB,1,2019
boCMKn,RB,0.5,2021
xMYeDs,RB,0.5,2021
g2sN2i,RB,1,2019
qqHxnW,NB,0.5,2020
DPSjL3,NB,0.75,2018
dXGlFq,NB,1,2021
YpEaQs,NB,1,2018
ww3DLW,NB,0.9166666666666666,2022
shYWMW,RB,1,2019
sZNQAr,NB,0.5,2021
TtyQOS,RB,1,2020
VVQocM,RB,0.5,2021
hqMzgc,NB,0.4166666666666667,2021
bxnUt1,RB,0.5,2020
PprgEh,RB,1,2021
CTwXoA,RB,1,2021
P3mGmZ,RB,1,2022
AmNLe0,RB,1,2021
HEQerN,RB,0.5,2022
jv0BQJ,NB,0.5,2018
DXxqTj,NB,1,2020
Ta0EjB,NB,1,2021
muzFbQ,NB,0.5,2022
UKzNoi,RB,1,2021
o3uebx,RB,0.5,2022
Jyj2sC,RB,1,2022
ANAltf,RB,1,2020
WbZCfm,RB,0.5,2021
QNXnxB,RB,1,2022
BmfFHe,NB,0.5,2021
DCmkjL,RB,0.5,2022
PAenOb,NB,1,2021
Do3trE,RB,0.5,2021
KRSwrz,NB,1,2018
lRr2Lw,RB,1,2020
yjxMGZ,RB,1,2019
mcdjky,NB,1,2022
kht1MT,NB,0.6666666666666666,2020
2iepDx,RB,1,2022
4OB2xu,NB,1,2021
V3eYJK,NB,0.5,2022
JDDMRO,NB,1,2022
suPfW0,NB,0.5,2021
BYBIhE,RB,1,2018
VQcyZv,RB,0.4166666666666667,2019
sjvggA,RB,1,2019
t3KYne,RB,0.5,2021
ajoxul,RB,1,2019
JbVbiZ,RB,0.5,2020
KPI4Qe,RB,0.5,2022
yCiSGV,RB,1,2018
zQbJ3i,RB,1,2020
juiQ0G,RB,1,2022
s0KdUk,RB,1,2018
Ayfvda,RB,1,2022
mzNcKG,NB,1,2019
WhwcPK,NB,1,2021
iPM4KW,RB,1,2021
DCkYw2,RB,1,2021
StgYFY,RB,1,2019
tx12MS,RB,1,2021
xawWKH,NB,1,2022
QDQOFb,RB,0.75,2021
Wq2BpG,RB,0.5,2022
ao112z,RB,0.5,2019
vrfJIt,RB,1,2019
uwFhJV,RB,0.5,2019
JeDD4T,RB,0.5,2018
LZ1sgI,RB,1,2022
3fFGkv,NB,0.5,2020
jfOLQQ,RB,0.5,2020
AtyEJO,RB,0.5,2020
otKdsF,RB,1,2019
lBW2Ae,RB,1,2020
ODvUhT,RB,0.5,2019
bBjrts,RB,1,2019
4BYwpD,NB,0.5,2019
KmtJJA,NB,0.25,2018
0JKXqo,RB,1,2022
RKvqqp,NB,1,2021
GsZTDk,RB,0.5,2018
2mq3Yo,RB,1,2020
gEobxh,RB,1,2019
0rFZxI,RB,0.8333333333333334,2018
vpFFwQ,RB,0.5,2022
YZaFdd,RB,0.5,2019
AsNiGW,RB,1,2021
aGDKuj,RB,0.25,2022
EiaFCu,NB,1,2018
4KL2Dy,RB,1,2021
PywjWh,RB,1,2022
JfUxl2,RB,1,2020
tesesZ,NB,1,2018
hDZPgE,RB,0.4166666666666667,2019
TrJP0V,RB,1,2019
hJQi0A,NB,1,2018
Pe2lJk,NB,0.5,2020
AKCZOu,RB,0.5,2018
zXfyUT,RB,1,2020
goqPAE,RB,0.8333333333333334,2021
khItlY,RB,0.5,2020
ehrVEb,NB,0.5,2018
bxoXyW,RB,1,2022
pAMyku,RB,1,2018
VV1jfj,RB,1,2022
NQt1KL,NB,0.5,2021
JaZvOT,RB,1,2020
NyPKmI,RB,1,2019
QvnRzV,NB,1,2022
CwZChl,RB,1,2022
bq1XR4,RB,1,2022
S0wgsV,NB,1,2022
CWzJlu,NB,0.5,2018
URPyWq,RB,1,2021
f0s4iO,RB,1,2018
YYSuhh,RB,1,2019
VvaJXa,RB,0.5,2019
WhAIGZ,RB,0.9166666666666666,2020
1Qdxmj,RB,0.5,2021
nEMjKr,NB,0.5,2019
YbnDKL,RB,1,2021
QuVSWS,NB,0.5,2020
3EK1Jn,NB,1,2020
XTGt0Q,RB,1,2020
kaFfRM,NB,1,2022
dRPhdr,NB,1,2019
cshej3,RB,0.5,2020
NZKaEu,NB,1,2022
Wzzr1E,RB,1,2022
4QGf2q,RB,0.5,2019
4z1R4L,RB,1,2021
EyXCUH,RB,1,2022
TDUTPv,RB,1,2021
jFSxEh,RB,1,2020
oFIcTO,NB,1,2022
JOfRtH,NB,1,2020
C0Bt1a,RB,0.5,2022
R2baMC,RB,1,2018
EOPWTY,RB,1,2019
xRGEOw,NB,0.5,2022
rlPmgu,RB,1,2018
3gYuUj,RB,1,2020
TascrH,NB,1,2019
yNkb0d,RB,1,2022
eaIgcq,NB,1,2021
AJ20FJ,RB,1,2019
cvVwg1,RB,0.5,2021
uvFPgj,RB,1,2020
JrLt2h,RB,1,2021
IZ4zUN,NB,1,2018
4RiY1D,RB,1,2021
oAGvZK,NB,1,2018
LLaD0a,RB,0.5,2020
fXBWRY,NB,0.25,2018
lnKPxH,RB,0.3333333333333333,2019
vjmdgi,RB,0.5,2019
4Bg4os,RB,1,2020
2udMul,NB,1,2019
kKevgf,RB,1,2020
3gBbdf,NB,1,2021
yLlPlJ,RB,1,2022
y0KReA,RB,0.5,2022
wMVN2H,NB,0.5,2018
fAxxhZ,RB,1,2020
RbJ4Nz,RB,1,2019
ufLftO,RB,1,2021
awLpFB,NB,1,2022
dMWQef,NB,1,2019
J0cMVU,NB,0.5,2020
AVYGCo,NB,0.5,2022
YN2cGD,RB,1,2019
hIBVon,RB,0.5,2019
0Slxut,NB,1,2020
L3P4QK,RB,0.5,2020
vmhmqP,NB,0.6666666666666666,2019
001utO,RB,1,2020
urlKcM,NB,0.5,2019
4HvMKz,RB,1,2019
2VNZBP,RB,1,2021
trtv0P,RB,1,2018
FWB1Mp,RB,0.5,2022
bhMsd2,NB,1,2021
aFQshv,RB,0.5,2022
NDQdYZ,RB,1,2020
mZWtNX,RB,0.5,2021
mqlvKB,RB,1,2022
bPJpnq,RB,1,2018
1qlBNz,RB,1,2020
02Xbss,RB,1,2018
dGTrW1,RB,0.5,2018
WqLfCx,NB,1,2019
ekqbzM,RB,1,2022
csNYbn,RB,0.5,2020
yPwLsk,RB,1,2021
cgLyEk,RB,1,2020
ifTMCG,NB,1,2022
ivBsiK,RB,0.5,2022
hzEVYq,RB,0.5,2019
OZgkLm,RB,1,2022
SS3I1u,RB,1,2022
LhjmLk,RB,0.75,2018
LXSLgt,RB,1,2022
EiV0V2,RB,1,2019
xzTWmy,NB,1,2021
yVjSMh,RB,1,2022
wdcVuC,RB,1,2019
kgAjWn,RB,1,2020
lEer0d,RB,0.75,2022
KWOsRz,RB,0.5,2020
VBBkrB,RB,0.5,2019
MExUe4,RB,0.5,2021
Kep13Q,NB,1,2020
f40pBp,NB,1,2021
bnJmui,RB,1,2021
gTPPBc,RB,1,2019
CkzFaw,RB,1,2020
SbDeFs,NB,0.5,2022
j1XumM,NB,1,2019
eePObX,RB,1,2020
2PYFzJ,RB,1,2021
sCZGlp,RB,0.16666666666666666,2022
11L4oi,NB,1,2021
XjEAbR,RB,1,2021
rsSzVA,RB,1,2018
eUqhSZ,RB,0.5,2022
tmad0I,RB,1,2019
ItxLkU,NB,1,2022
PAtzsF,RB,1,2022
ilYuh1,RB,0.5,2022
GKAO2Q,RB,1,2019
uPsWQr,NB,1,2019
cZVmN1,RB,1,2022
JCgfhk,RB,0.5,2019
UdBpCX,RB,1,2020
A0vFRw,NB,0.5,2022
nNyTA4,NB,1,2022
FQbeio,RB,0.5,2019
EqAvAX,RB,1,2018
xHKdbE,RB,1,2022
bWVkyz,RB,1,2020
IfbiUj,NB,1,2018
Y4KMXd,NB,1,2022
NmVfjk,RB,1,2018
FijNqF,NB,0.5,2020
bjXCq0,RB,0.5,2019
IzVaCd,RB,0.5,2021
kTUtei,RB,0.5,2018
Gao10t,NB,0.5,2021
e1nwud,RB,0.5,2020
U2EtFW,RB,1,2022
nZiZ2R,RB,0.5,2018
1ztRbU,RB,0.5,2020
QJQCU0,RB,0.5,2018
Kuu0uK,RB,1,2018
llOhVM,RB,0.5,2019
jfkuLq,RB,1,2022
SlpaWo,NB,0.5,2018
QdxqPg,NB,0.5,2022
GmXmmN,NB,0.5,2022
bVpcCC,RB,0.5,2020
uxaIB1,RB,1,2019
S2JK34,RB,1,2020
dApCZy,RB,1,2021
BcjNOb,NB,0.5,2018
dprpjc,RB,0.5,2020
ubfJ3T,RB,1,2019
GxdbEA,RB,1,2022
HvFrDK,NB,1,2020
SJHIu0,RB,1,2021
TAygjt,RB,0.5,2020
KdW4d4,RB,0.5,2020
UnSffD,RB,0.4166666666666667,2022
D3cmKM,NB,1,2021
KODwlt,NB,0.5,2018
yyzgZC,NB,1,2020
0tXZDA,NB,1,2018
2AjEer,RB,1,2021
VvFSKU,RB,1,2020
wCZtv0,RB,1,2021
Eplf21,NB,1,2019
Z1lUrY,RB,0.5,2018
zWD4ZG,RB,1,2019
k1uZpi,RB,1,2022
bWYaNv,RB,1,2019
YjQSiq,NB,0.5,2019
rIkdwf,RB,1,2022
cppTcV,RB,1,2022
qNpGBe,NB,0.5,2021
VvDgRY,NB,1,2021
yh4VVl,RB,1,2020
V4f01G,NB,1,2020
VeeDRu,RB,1,2021
SzbQlW,RB,1,2018
EcQNXY,RB,0.5,2018
eKULLv,RB,0.5,2022
jMDCMw,RB,0.3333333333333333,2022
zWoQNC,RB,0.5,2022
Hyj2o1,RB,1,2018
T22C1O,RB,0.5,2022
2UDx3Z,RB,1,2020
NUIcSm,RB,1,2019
S2PxUN,NB,1,2020
LZwn30,RB,1,2020
PbIJdb,NB,0.5,2021
DpyYBH,RB,1,2021
g10RwR,RB,1,2022
deMZgx,RB,0.5,2022
KnUlGp,RB,1,2018
EVQQYi,NB,0.4166666666666667,2022
qtPQJI,NB,0.5,2020
jgyykM,NB,0.5,2022
mnuZo4,RB,1,2021
OQoV3r,RB,0.8333333333333334,2020
cqyt03,RB,1,2022
JyVrHR,NB,1,2022
3ssIki,RB,1,2021
SuSOzX,RB,0.5,2019
ZwWKVM,NB,1,2020
GJ1uMl,RB,0.5,2021
RzX0ud,NB,0.5,2018
IXBmJ3,RB,0.5,2018
NbSunV,NB,1,2021
Rsh2gH,NB,1,2019
0EIcV0,RB,0.5,2018
kR1mPN,NB,1,2021
Oho0AM,RB,0.5,2019
KnqbiX,RB,1,2018
NuKTY4,NB,1,2022
j2KQXg,NB,0.9166666666666666,2018
UocMK1,NB,1,2018
qJVihn,NB,1,2019
i42VzB,RB,1,2020
UQgWDy,RB,1,2021
mwPWZM,RB,0.16666666666666666,2021
1Q01PI,RB,0.5,2018
0mu3Ip,RB,1,2019
yqnaUX,RB,0.9166666666666666,2019
hssXXp,RB,1,2020
Bg22pc,RB,0.5,2022
02PJEy,RB,1,2019
ja4gli,RB,1,2021
c4vomm,RB,0.5,2020
cNJebX,RB,0.5,2018
eRJlQc,RB,1,2021
uzeVtn,NB,1,2019
Gap2Bf,NB,0.5,2022
yay0eU,RB,1,2019
T3OOAd,RB,1,2018
1QHTIz,NB,0.5,2020
0wo0Dx,RB,1,2022
FHzTk3,NB,0.5,2020
KDMnVl,RB,1,2021
IGlA4V,NB,1,2022
rGqpFN,RB,0.5,2020
EhhiPl,RB,0.5,2018
JIZImZ,RB,1,2022
FNv4JP,RB,0.5,2022
ArOCsn,RB,1,2021
ugPkC0,RB,1,2021
cvqjHR,RB,1,2021
zihPBj,NB,1,2020
OZMvbM,RB,0.6666666666666666,2021
evwmfy,RB,0.5,2019
uQhF0v,NB,1,2021
urVds4,RB,1,2020
Ty0jlv,RB,1,2019
LZduCe,RB,0.5,2021
eLMuj3,NB,0.5,2022
y42kAe,NB,1,2018
KztHku,NB,0.75,2021
njHdlR,RB,1,2021
0y3ZGk,RB,0.5,2021
3TrBTS,RB,0.5,2022
xEUXQL,RB,0.5,2020
U4FI4v,RB,0.5,2022
EK2bHG,RB,0.5,2021
FKruG4,NB,0.25,2019
VOaXwh,NB,1,2020
AtrXcM,NB,1,2018
0xTsEu,RB,0.5,2021
IfaPWz,RB,1,2021
3NiDGH,RB,0.5833333333333334,2022
oqcUAn,NB,1,2022
knbfiY,RB,1,2022
sOfXgj,NB,1,2019
uPDmaS,RB,0.5,2020
onkhub,NB,1,2021
LEyxJ2,RB,1,2021
QdGMXU,NB,0.4166666666666667,2022
MnZEpa,RB,1,2022
vtmUSb,RB,1,2020
qkAAnj,RB,1,2021
kYWdKm,NB,0.5,2020
KMHSSv,RB,0.5,2020
xEFUzG,NB,0.75,2021
UuzjiR,RB,1,2019
CMea4d,RB,0.5,2019
YUlBAf,RB,1,2021
rttr40,RB,1,2022
JnmRQZ,RB,1,2022
NGXnYm,NB,1,2018
sbtyzL,NB,1,2021
FksioD,NB,1,2019
dhcZys,NB,1,2022
qGZikn,RB,1,2019
keGkGR,NB,1,2022
MNQiEz,RB,1,2018
OjmZNb,RB,1,2018
IzKMp3,NB,0.5,2020
KWGHBC,RB,1,2022
3OWKYC,RB,1,2021
kN3HQC,RB,1,2018
dSQbXQ,NB,1,2019
20vJIh,NB,1,2018
wuSl2A,NB,1,2019
Lyguui,RB,0.5,2019
0iMrXk,RB,0.16666666666666666,2021
wfMVwX,NB,0.4166666666666667,2022
Sf2Oi4,RB,1,2020
chu4dp,NB,1,2020
oJJKu4,RB,1,2020
t0gMpg,RB,1,2018
paaA4A,RB,1,2018
G1cGPF,NB,0.5,2022
PTGDq2,RB,0.5,2021
hMbsTj,RB,0.5,2022
yczyRG,NB,0.5,2021
2I2zwv,RB,0.5,2021
cYALmh,RB,1,2021
UkaezP,NB,0.5,2021
wfrUCP,RB,1,2020
oOOmCE,RB,0.5,2022
yrTADf,RB,1,2020
aRusml,RB,1,2020
FbNuhA,NB,0.5,2021
PxwtKU,RB,1,2022
VXanRe,RB,1,2018
XQC2jR,RB,1,2020
bdZANe,RB,1,2020
ZqafyH,NB,1,2018
Udqwn2,RB,1,2022
CcvWfI,NB,0.5,2020
SARxPI,NB,1,2018
E4hjMV,RB,1,2021
p4hnrQ,NB,1,2020
ZiElRA,RB,1,2021
Sp2uXJ,RB,1,2020
tF2KLn,RB,1,2018
ZG0ovL,RB,0.5,2021
XcLGOk,RB,0.5,2019
MpcMTl,RB,1,2022
2QGtLe,RB,1,2018
pghkP4,RB,0.5833333333333334,2020
HEhWKc,RB,1,2019
lszzSy,NB,1,2021
fiVGoo,NB,1,2018
4CtIyq,NB,0.5,2020
bjHDga,RB,0.8333333333333334,2021
1FSvkz,NB,0.5,2020
gVtXJo,RB,0.5,2019
ed1vDn,RB,1,2019
gy3E1o,RB,1,2020
SJ0wBN,RB,0.5,2018
XvCDbt,RB,1,2022
cKyZVf,RB,0.5,2021
FVxGbR,RB,0.5,2021
FYKdOp,RB,1,2022
LAtO22,RB,1,2018
GzniAe,RB,1,2022
burREu,RB,0.3333333333333333,2019
BBFiBO,NB,0.16666666666666666,2021
ocAFxd,RB,1,2019
KAOiCd,NB,0.5,2022
UUpuMg,RB,0.5833333333333334,2019
FwjupJ,NB,1,2021
qKinAB,NB,1,2021
DrguwA,RB,1,2021
yPDYKr,RB,0.5,2022
yDYBme,RB,1,2021
q0iCYF,NB,1,2022
Xubwaw,NB,0.5,2021
ODiMSS,RB,1,2018
zlivHD,RB,0.5,2020
OP0KqR,RB,0.5,2021
AjWgfU,NB,0.5,2021
Lwj0qi,RB,0.5,2019
YCDntT,RB,1,2022
YsEQbO,NB,1,2018
1vVJ44,RB,1,2020
qOq4UF,NB,1,2020
yGpodZ,RB,1,2020
QwRzhx,RB,0.5,2020
O1pd3w,RB,1,2018
CZLLjC,NB,1,2020
BitO2P,RB,1,2019
3NqH20,RB,0.25,2020
fNxjCs,RB,1,2018
olkBRX,NB,1,2020
nXeeEL,NB,0.5,2021
umpGgZ,NB,0.3333333333333333,2019
R0dGgf,RB,0.5,2020
XaJZmo,NB,1,2022
HBNOsF,RB,1,2021
1lhvVl,RB,1,2021
ocMvF0,RB,1,2020
f2Hl34,RB,1,2022
SaFNfi,RB,0.5,2019
YdLEq2,RB,1,2021
jJOXjF,RB,0.5,2020
kyv3ZU,NB,0.5,2021
rchH4J,RB,1,2018
YbnzgF,NB,1,2018
uHTank,RB,0.5,2022
20MmaZ,RB,0.08333333333333333,2018
HwwtZ2,RB,1,2022
msiEEa,NB,1,2022
jv0wQO,RB,0.5,2022
kwaWiy,RB,1,2019
BaDlaf,NB,1,2022
qRrBFZ,NB,0.3333333333333333,2022
qJU0Qo,NB,0.5,2021
ZBokjX,RB,0.5,2021
FmHNlk,RB,1,2020
SIhClH,RB,1,2018
JcLLFv,RB,1,2021
WbPTrP,RB,1,2021
oQOcjQ,NB,1,2022
ccraXa,NB,0.5,2021
1sfiSf,NB,0.9166666666666666,2022
OPRVQV,RB,1,2022
kpcmya,NB,0.5833333333333334,2022
odYDzF,NB,0.5,2021
01HARv,RB,1,2021
IZaRnC,RB,0.5,2020
ftPfRl,RB,1,2018
CMglzN,NB,0.5,2018
NqlKDQ,RB,1,2022
frbSFV,RB,0.5,2020
iEEqDY,NB,1,2021
Fp2Gwl,NB,1,2020
MW0pVn,NB,0.5,2019
nmswRR,RB,1,2021
dDb2ZY,RB,1,2018
jzOFky,RB,1,2021
sgXJEt,NB,0.5,2018
giSC3B,NB,1,2021
DPu4xu,RB,1,2022
tFdHAx,NB,0.5,2022
2qtvLu,RB,0.5,2020
K03h3T,RB,0.5,2020
f0iEQT,RB,1,2020
MgPB4g,RB,1,2022
XbYVKW,RB,0.4166666666666667,2019
zo3OyI,NB,0.5,2018
BzQTGI,RB,1,2018
eKpUQc,NB,1,2022
BpwKPl,RB,1,2022
2mqpAZ,RB,1,2019
elCkM1,RB,0.5,2022
i1rylf,NB,1,2018
mFsyjJ,RB,1,2022
QCzmif,RB,1,2020
RluwIU,RB,0.3333333333333333,2022
cgrvXf,RB,0.5,2021
JccEw4,RB,0.5,2021
DcIyww,RB,1,2022
R0IIYH,NB,0.5,2022
s3qxVG,RB,0.5,2020
uyX2pZ,RB,1,2018
dpUBNR,RB,1,2022
AWUyya,RB,0.5,2021
JfQBWA,RB,1,2020
INvmrh,NB,0.5,2021
EjcEay,NB,1,2022
AusqH0,NB,1,2022
vIL3CK,NB,0.5,2018
DjOZpb,NB,0.5,2019
aJMAnR,RB,0.6666666666666666,2021
DTCZym,NB,0.5,2020
sXi21k,RB,1,2020
mpkbtj,NB,0.5,2021
evJXbq,RB,1,2019
OIIg1w,RB,1,2021
fsEtNZ,NB,1,2018
kuqlki,RB,0.5,2019
NqTvet,RB,1,2022
bRbQWj,RB,1,2020
QOAzW0,RB,0.5,2019
ToLGmI,RB,1,2020
auScne,RB,1,2018
anKQOC,RB,0.5,2021
SssHRl,NB,1,2020
Yy4DMQ,RB,0.5,2022
LeeLE1,RB,0.9166666666666666,2021
ZjoOaw,RB,0.5,2019
Rf4RrS,RB,1,2018
dPCTca,RB,0.5,2021
HteMaL,NB,0.5,2020
fMMaZb,RB,1,2022
vzylVU,RB,1,2021
sYNPDM,RB,1,2021
cBASwp,RB,1,2018
lp1Iom,NB,1,2019
PfOUue,RB,1,2021
2qZ0QA,RB,0.16666666666666666,2020
VznaRn,NB,1,2018
KIee2k,RB,0.5,2019
eMhiHZ,RB,1,2021
cOgAvh,RB,0.5,2019
GtCXHW,RB,1,2022
J3aSiS,RB,1,2022
mu1xQf,NB,0.5,2019
0iCsUi,RB,1,2018
M0Sr4X,RB,1,2018
mPJh1D,NB,0.5,2019
14d3PU,RB,1,2022
PHpob2,RB,0.5,2019
nskngD,RB,1,2022
vSypTC,RB,1,2018
dHSUJ4,RB,0.5,2020
ZzlMWM,RB,0.5,2022
