id,age,gender,marital.status,yrs.licensed,region
AVNhlh,57,F,Married,27,A
ozEqm2,43,M,Married,17,A
xTcgL2,24,F,Single,7,A
MhhsVY,30,M,Married,11,D
OKZfKe,23,F,Single,4,B
1TUB2S,53,M,Married,35,C
tZSHIB,36,M,Divorced,15,F
inStyX,32,F,Married,12,A
ZCtZum,63,F,Widowed,31,E
sU3zx3,74,f,Divorce,50,G
LnHLN2,65,F,Married,43,E
2gafhO,41,F,Widowed,17,F
aAwhMn,36,F,Married,12,L
htwauJ,43,M,Single,21,A
zsQSKH,25,F,Single,3,D
DulTRt,38,M,Married,16,A
wJpxsn,32,M,Divorced,13,A
BoBLTh,32,F,Single,8,A
myWXLY,30,F,Married,11,D
avKbyU,64,M,Widowed,45,E
ZFdGrI,34,F,Married,14,E
eyKOB1,47,F,Married,26,F
1lzqjR,43,M,Married,25,G
goPvNC,33,F,Single,10,C
w2cHg4,84,F,Married,49,F
jMTUzn,61,F,Single,33,J
ONoz2y,27,F,Single,10,A
nPFKgq,63,F,Married,24,C
3hFWQH,44,F,Divorced,27,D
4SsDeB,60,F,Widowed,37,C
0nnKhp,31,F,Married,12,D
v4oDry,47,F,Married,25,L
JcPTjm,80,M,Married,53,H
FuHkIt,26,M,Single,3,I
ZpY0KQ,33,F,Married,13,A
sLvZih,29,F,Married,6,H
zymx2P,37,M,Single,18,A
FqtYFg,72,M,Married,42,H
fnxQrH,48,M,Married,24,H
UFxtCf,64,F,Married,37,H
yepUpN,54,F,Married,29,D
4qYIPs,69,M,Married,30,B
AAgPfi,49,M,Widowed,22,F
ML3chn,81,M,Married,53,J
DrVRWW,50,m,Married,28,E
JRAvF1,85,F,Married,67,A
H43rsr,28,F,Married,7,A
cLytVV,29,M,Divorced,12,D
wOXzj0,30,F,Married,9,C
KhMbOQ,56,F,Married,28,E
xjwGQl,51,F,Married,26,E
ZGWqJX,33,M,Married,13,C
lEjWtA,32,M,Single,14,D
4WO4Z3,38,F,Single,17,C
noogoB,58,M,Married,37,G
LX4GjE,67,M,Married,45,B
ikBpj3,41,M,Married,22,A
sDo32a,38,M,Separated,18,E
WrKTtS,40,F,Married,14,E
C1WWQn,51,F,Married,25,A
zVGTvO,26,M,Single,8,C
xXez4S,63,M,Widowed,43,C
vaqDwe,20,F,Single,4,F
wcGRk0,51,M,Married,30,H
r13QIT,54,M,Married,22,A
uWFOBB,53,F,Married,30,B
gtlcKm,59,M,Single,35,L
CuoIx2,35,M,Married,15,A
dRevXt,20,M,Single,3,E
VPWEVG,64,F,Married,36,H
QvMj41,64,F,Widowed,42,M
bCjpuD,26,M,Widowed,8,H
gSZSM4,62,F,Widowed,38,B
c1LtM1,49,M,Married,28,H
4kouQI,46,M,Married,13,D
BihDz3,31,M,Married,12,D
Q2WdxL,32,M,Married,11,H
MqPAVJ,35,F,Widowed,18,C
xHsEUH,48,F,Divorced,21,E
HpPPk2,54,M,Divorced,35,A
QdbNZX,47,M,Married,27,D
qzLmuu,46,F,Married,29,H
PqVeac,33,M,Married,15,C
Xq0303,32,F,Single,6,E
1UnMuk,34,M,Married,15,E
lHSPYi,37,M,Married,19,B
dEpujI,29,M,Single,6,C
2GYmlw,38,M,Married,21,F
VYEZNW,35,M,Married,17,F
WTzfQs,29,M,Married,11,C
bMavjS,53,F,Married,21,F
QB30DK,53,F,Married,32,F
vsXcQw,35,M,Separated,17,A
lEQvWV,25,M,Single,3,F
XbldsJ,33,M,Married,14,E
mvXQSt,70,F,Divorced,44,C
MZsMYY,35,F,Married,8,F
2zwmVA,51,M,Married,26,H
xbV3PR,54,F,Married,33,E
JusySa,26,M,Married,9,F
roXd4F,59,F,Married,30,A
adLOBH,31,M,Widowed,12,A
voPPoj,69,F,Married,50,A
BrHDg1,68,M,Married,40,D
Xc0Yia,39,M,Widowed,19,K
eVC3Oa,67,M,Single,45,B
HBWHUU,38,M,Married,13,E
JYkX0b,77,M,Married,56,G
HgbM1G,37,M,Single,19,G
DJgIph,48,F,Married,21,G
RaBiiX,49,F,Divorced,29,F
LbdnSA,41,F,Married,12,G
MJ00bg,27,M,Married,8,K
LvgYql,27,M,Married,6,I
1WWgBL,23,M,Single,6,D
GBVzPD,51,M,Widowed,28,A
rpbfLC,21,F,Single,4,A
h2nOeK,58,M,Married,18,F
ys3gNc,42,M,Married,19,B
NJoNZD,60,M,Single,35,A
EG0Z1x,38,F,Single,15,H
kcUx3f,55,F,Married,26,I
bfJjkU,65,F,Married,40,A
4pFtr1,44,F,Divorced,20,E
aL4P3C,54,M,Widowed,26,A
WlfgQF,57,M,Married,35,H
WHouAZ,64,F,Divorced,44,E
hepkHD,50,M,Widowed,17,D
fdIIz1,27,F,Single,6,C
0bpjHz,43,M,Divorced,20,A
jde0TA,32,M,Married,11,F
UuF0gd,48,M,Married,16,B
XOsWdi,52,M,Married,15,C
SF1fFS,74,F,Married,45,F
t4cimF,43,F,Divorced,21,A
spbF3E,54,M,Married,16,A
prSRon,45,M,Married,28,B
HPysfA,29,M,Widowed,10,E
3yDxbZ,40,F,Divorced,14,E
IpjYqP,52,F,Divorced,15,E
thfxA1,33,F,Widowed,11,E
KVUSkn,50,M,Widowed,24,B
nmvbj2,59,M,Married,40,A
EzOuPd,44,F,Married,21,C
YpyJdn,29,M,Single,13,D
4fMrv2,45,M,Married,25,D
2mdl4B,55,F,Divorced,36,A
2GsIAb,60,M,Married,32,G
DStVkU,50,M,Married,33,A
MR4bS3,25,F,Single,7,A
F0ZvrK,52,F,Married,23,A
xUFaEC,25,M,Married,6,A
jWDsLq,27,F,Married,8,D
nb24GL,76,F,Divorced,56,A
NQjwQu,34,M,Single,15,B
upgGCj,55,F,Married,35,D
KdbVHP,56,F,Married,30,D
BSXTDL,35,F,Divorced,13,F
HjwhlL,36,M,Widowed,6,D
IqGQiD,23,M,Single,6,D
vQaOjt,41,M,Single,17,M
txKDrL,30,F,Married,10,D
xYm4mY,70,M,Married,41,F
TSNGqN,41,M,Widowed,20,E
EHeYks,53,M,Married,33,E
SioqY2,30,F,Single,10,C
1E0uOk,NA,f,Married,16,C
QRAjqd,43,F,Married,17,B
A0urwm,28,F,Married,10,A
3xRfUS,55,F,Divorced,30,G
3AlGpY,21,M,Married,4,J
SLXHTh,34,F,Single,12,G
eRIgQf,45,F,Married,26,D
4ndlHY,39,M,Single,13,C
iFmJnD,28,M,Married,12,G
w1NJNt,33,M,Separated,14,N
4xfbUW,68,M,Divorced,42,C
IiFFLo,27,M,Single,9,N
uDPNhG,53,F,Divorced,30,K
wAJUmc,28,F,Married,9,F
fQfwUL,67,M,Divorced,46,E
wayhxp,23,M,Single,5,A
BwKPdG,60,M,Married,43,D
hb1QSk,57,F,Married,34,I
KE1SDT,66,F,Married,47,E
s4YpbL,30,F,Single,9,E
dI0pfe,42,F,Married,13,E
pMakrH,36,f,Singlr,11,C
hnAwTg,34,F,Single,14,A
GLN2ET,30,F,Married,7,L
NlWlVO,53,M,Married,24,H
vovzCY,68,M,Divorced,33,E
40JMhg,52,F,Married,29,E
dLIZ2d,30,F,Single,11,C
WEZVaF,45,M,Married,16,A
VqnCos,24,F,Single,7,G
qEYzHE,57,M,Married,29,B
HWdmEQ,52,F,Widowed,27,B
icUkOA,39,F,Divorced,17,C
y3h2nj,42,F,Single,24,D
Rt3Zo1,39,F,Single,20,A
2HJU1K,27,M,Married,7,A
UKbGRi,59,F,Divorced,33,C
ZtFEbF,56,F,Married,21,E
Bu34HX,42,M,Divorced,22,H
JHo4qt,21,M,Single,5,A
tOKi4j,42,F,Divorced,24,A
nppuki,57,M,Married,29,D
KOSPHh,20,M,Single,2,A
dHePZW,77,M,Married,56,H
lndyus,59,M,Married,27,H
k1CWXQ,50,F,Married,16,J
XZsagm,32,F,Widowed,15,A
TRFEY1,31,F,Married,10,D
wAyy4L,54,F,Married,23,C
eLRxIv,43,M,Married,20,C
B2grct,42,F,Widowed,20,D
Mk2yCc,68,F,Widowed,39,B
FU3PIq,46,F,Widowed,24,A
oHerkA,60,F,Married,30,D
tLfWUS,51,F,Married,25,B
KJSfLZ,34,m,Married,17,G
mrOwyT,79,M,Married,49,A
NnLlxv,52,F,Divorced,16,H
PkZe4F,38,M,Single,14,A
HNjyB1,34,F,Married,9,D
kZ22Vs,48,F,Married,25,A
VpSw2K,69,F,Married,52,B
ZVKSoD,39,M,Single,18,D
XFUYI1,58,F,Married,34,G
T4JZ4q,25,F,Married,6,A
g0ZRkV,50,F,Married,32,H
RxEQ2P,44,F,Widowed,16,A
l1gcRC,22,M,Single,5,K
jkbtpl,45,M,Separated,24,B
0VvqrY,24,F,Single,7,G
4MDwm2,28,F,Married,9,D
yyjIKp,32,F,Married,15,C
jALGGO,74,F,Widowed,49,A
UQN0Br,45,M,Single,27,F
uL2hD2,37,F,Married,10,L
tSGTBk,56,M,Married,36,A
VRRSrm,58,F,Married,26,F
SRSrDU,21,F,Single,4,A
FfeDG0,65,M,Married,29,B
1TFRj2,53,F,Single,32,B
BX2Fje,32,F,Married,12,E
1OBUdQ,42,F,Married,17,G
GJwsCF,56,F,Single,27,G
HQdNyy,38,F,Married,18,H
rFGWiU,31,F,Married,7,F
flBcGJ,38,F,Married,18,F
HulEwm,57,M,Married,31,L
YMDoXJ,25,F,Married,5,B
JNGV0D,23,M,Single,5,C
DJBALT,41,F,Divorced,17,G
BuMOdS,20,F,Married,3,F
oyrNux,37,M,Single,16,E
Pdlwju,77,F,Married,53,L
jkgYL1,23,F,Single,4,F
g3SaPT,37,M,Married,16,A
pkzd2i,62,F,Married,37,B
EYyPnc,29,M,Married,6,A
vR4wlJ,67,M,Divorced,42,A
GdF4QN,23,F,Single,2,B
zZgwoq,56,F,Divorced,37,H
EHoeLR,59,F,Married,36,A
CSzgBw,58,F,Married,31,E
u0LMKF,34,M,Married,15,A
SOZALX,41,F,Married,16,B
BoFZls,32,M,Single,13,A
KUcvtd,42,M,Married,25,B
BdeuHJ,48,M,Married,29,A
H2Froe,47,F,Married,21,F
1OgRw3,20,F,Single,2,A
tMBPzw,76,F,Single,42,E
DMzLbn,40,M,Married,15,B
d4VMI3,24,M,Single,4,D
jkDVcH,29,M,Separated,9,C
2zw2zV,38,M,Divorced,17,F
ZRKEBz,66,M,Divorced,32,G
JLPgki,71,F,Married,42,A
zKoESy,36,F,Married,16,A
L1MeRy,45,M,Single,25,C
zeKWEd,62,M,Separated,32,F
iYxSVt,47,M,Married,30,A
Ufw4TL,63,F,Married,39,A
KTeHeR,39,F,Married,19,B
luQbhz,45,M,Widowed,26,E
hiQfjW,34,M,Single,10,B
SLLRwI,17,M,Single,1,C
WMzMQR,61,M,Married,32,A
Fu31pQ,52,F,Married,27,D
oGFRgy,53,F,Single,23,F
3H2m3P,34,M,Single,13,C
u2ErNv,54,F,Divorced,29,C
HDrZeN,38,F,Married,19,H
oQotld,32,M,Married,14,A
VOgIb3,27,M,Married,8,A
LCl0GT,55,M,Single,28,H
wRPREc,35,M,Married,15,C
1af1BN,53,F,Single,12,A
c13hwe,93,M,Widowed,68,A
yN41Qg,46,M,Single,10,B
egbpuO,22,M,Single,5,A
ijOvlS,59,M,Widowed,32,F
JHQX0k,21,F,Single,5,A
q2Lxd3,70,M,Married,52,D
eXmx1w,41,F,Married,23,B
KBDbfy,69,F,Divorced,43,A
nrjmMU,30,F,Single,11,F
prtuVn,65,F,Divorced,47,B
wWA1rg,38,M,Married,19,B
lRv0tS,53,M,Married,31,C
p0FwYo,54,M,Married,30,A
LDsnQe,71,M,Married,45,A
LwMQCQ,44,M,Single,18,K
ZuboUs,64,M,Married,46,F
LNMZ0j,52,M,Single,33,C
lQAXO0,32,F,Separated,7,E
HRSYuQ,45,F,Married,18,B
nvePnc,31,F,Married,12,C
kPNsj4,54,M,Married,22,A
VWlw4d,51,F,Single,28,H
ivAzdy,55,M,Single,25,I
Qfyeoi,51,M,Widowed,21,D
4zz11v,65,F,Married,47,A
2UJBP0,61,F,Married,39,B
lSIEBO,19,M,Married,2,A
whJ4Db,22,F,Single,6,H
CGeHxW,32,F,Married,14,E
CiKTwH,41,F,Separated,17,B
h4KbaI,57,M,Married,30,A
zWqXEL,30,M,Married,12,G
MlWSNm,25,M,Single,8,C
TWwQRT,37,F,Married,18,A
1MYtmj,37,M,Widowed,10,C
WxoiCG,30,M,Single,12,G
DWelwo,47,F,Married,16,F
lNoEsB,39,F,Married,15,A
hRdGeM,49,M,Married,30,D
YassBn,36,M,Single,11,D
ZASCtH,34,M,Single,12,E
JYZp3t,46,M,Married,25,C
nIwLwV,31,F,Single,9,H
zEWack,39,M,Married,21,A
NUMSaI,75,M,Divorced,42,E
tjrnnv,38,M,Married,18,E
tmfAey,33,M,Divorced,9,J
4MD1hN,57,M,Single,32,J
yWqWCa,34,F,Single,11,F
MkTPZ3,53,F,Married,29,A
2fQTld,40,M,Single,16,C
ipRumv,63,M,Single,37,H
RzuzQ1,43,M,Married,16,A
rRwUQo,35,F,Married,12,C
VKzwvc,23,F,Single,5,G
Ul0vz3,43,F,Married,11,B
hSJfaj,36,F,Single,13,E
dEebem,43,F,Divorced,23,A
FSHSr4,43,M,Married,21,C
hZTajR,54,F,Married,26,A
uANStW,33,M,Single,14,I
QOyc2f,28,M,Single,9,B
0ZCfcj,58,F,Married,39,A
b2bZwu,58,M,Widowed,26,J
BRQoxf,75,M,Married,38,E
LaN0Ww,26,M,Married,9,A
KFid1A,53,M,Single,30,C
MjZWTi,20,M,Single,3,B
zxiTHk,50,M,Single,31,H
C2NFt1,55,M,Single,30,G
InGDWT,54,M,Married,27,A
1tmwtX,49,F,Married,24,A
TChBSa,27,F,Single,8,G
nmKDD3,34,M,Married,11,A
dqgxXi,59,M,Married,33,F
fJsDuG,24,M,Singlr,5,A
uRB2kg,52,F,Married,26,B
ZEAol2,54,F,Married,20,E
DyMEBM,30,F,Separated,11,E
R0txTa,54,F,Married,26,I
OyCkKj,39,F,Single,15,C
vMmank,54,M,Married,12,F
nhiLEV,36,F,Divorced,17,C
qEtTot,49,M,Widowed,27,D
tkkCRd,44,M,Married,19,H
Km3bZC,36,M,Single,11,A
KOzjaT,26,M,Single,8,E
MLP13c,52,M,Divorced,32,I
CQeBOm,29,M,Single,10,K
NNLmPZ,34,M,Single,12,A
KEGIyr,43,M,Married,21,E
Sdbkav,36,M,Single,9,D
wyKLiB,39,M,Divorced,21,E
Q2afoR,46,M,Widowed,29,B
HrszsC,40,M,Married,22,A
MszXTc,34,M,Married,11,H
mhID1z,58,F,Married,32,C
bCVSn1,47,F,Married,22,F
2Jzx3O,27,M,Single,10,E
LXzfMo,22,M,Single,4,C
Cd1N31,48,F,Married,18,E
nlzXi4,29,F,Married,13,A
oQFZRU,53,F,Married,17,F
VzjGmp,48,f,Divorce,26,G
Vb3vpW,87,F,Divorced,60,M
poddvt,44,F,Widowed,20,K
HQCSo0,46,M,Married,19,D
WsUvxF,59,F,Married,16,C
eiOlYD,56,M,Single,17,A
PTFnVQ,39,F,Married,17,C
qGwhVl,21,F,Married,4,B
EVwnYL,44,F,Divorced,26,B
4rSPVr,31,F,Widowed,13,A
4ezISD,31,M,Single,14,A
fH3ujs,55,M,Single,30,C
fywT03,65,M,Separated,44,C
EcgUNx,26,F,Single,7,J
uEFeOS,51,F,Widowed,22,D
lHfQEX,41,F,Single,20,B
azBJwi,21,M,Single,5,H
EuMnnZ,61,M,Married,33,A
P3Dy2n,46,F,Married,24,B
gAcdXv,45,F,Single,19,G
4m0hTN,32,M,Single,14,E
P1hXAx,30,M,Single,13,A
Icu3gK,42,M,Widowed,13,E
FVjVXx,62,M,Widowed,23,E
IXnOK2,36,M,Widowed,16,L
0hcXQO,22,M,Single,6,E
lKKC3e,62,M,Married,41,A
fCCgcV,21,M,Single,4,C
iGQVhU,45,M,Widowed,20,F
LaeWxc,64,M,Married,41,H
tIpoeo,36,M,Single,16,A
zAIRUT,62,F,Married,35,G
E4wHmG,56,F,Single,29,H
JZgULl,25,M,Single,9,D
YrrmmJ,30,F,Divorced,2,A
oOtwAi,56,M,Married,33,E
toUPlj,24,M,Single,6,A
U3eAH2,43,F,Married,17,B
T2pbw3,27,F,Single,6,C
wCmn1U,37,F,Divorced,16,E
rDSFjf,66,M,Married,43,G
hYFYjt,22,F,Married,5,F
EKstCw,54,M,Widowed,36,A
OijZdx,23,M,Single,5,F
LVNGUC,46,M,Widowed,21,A
wYPD3d,38,M,Married,13,B
sLJSUU,53,F,Married,25,B
yT4Pl3,30,M,Single,12,G
CDoXw1,24,M,Single,7,F
LHUA4M,48,M,Widowed,27,B
zCz1h1,29,F,Widowed,7,B
KVvf4J,61,F,Married,35,D
GekVCG,66,F,Widowed,28,G
k3SxUN,61,M,Single,37,B
uziUrA,49,M,Married,32,C
B2xokA,38,M,Married,16,F
LeMqIo,37,M,Single,13,F
XXPGW2,28,M,Single,11,A
ENPRZR,62,M,Single,27,A
t41QPk,54,F,Married,20,E
21vsHI,36,M,Divorced,15,A
0JdNgQ,21,F,Married,4,M
tUsxtg,61,M,Single,43,E
gIe21w,31,F,Single,10,A
DfjyjT,41,M,Single,15,A
msDjDN,25,F,Married,7,J
XAxOtb,51,F,Married,22,G
ZLLzlG,26,F,Single,9,G
ZqkFT1,63,M,Divorced,33,L
JEIiWD,38,M,Married,18,C
gImnfu,29,M,Widowed,12,D
hKbr3s,71,M,Married,49,H
OI3jsG,36,M,Married,16,C
YB2fNt,68,F,Single,52,C
wJdgGu,53,F,Widowed,28,A
GNbvHQ,34,M,Single,16,B
3XQ4qm,37,M,Single,19,F
YlDzLk,69,M,Married,45,I
uwyz3I,41,F,Widowed,12,A
Aooo1z,25,F,Married,8,A
nhAU2B,46,M,Married,15,A
zS0ZTf,31,F,Single,14,B
3BGwBz,49,M,Married,22,E
QJDCRL,45,F,Married,21,B
kiKl4a,51,M,Single,32,A
a4iUSY,65,F,Married,38,A
Y2IDhK,78,F,Divorced,50,A
QGVBcq,52,F,Widowed,19,A
wXiFJX,29,M,Divorced,9,H
SMmk3l,57,M,Married,34,E
Pp3LT1,61,M,Single,29,B
h1crU3,34,F,Single,17,K
S0AfQe,33,M,Single,12,F
xyvkuu,41,F,Single,11,H
kjCrcy,33,M,Widowed,5,H
okowsG,NA,f,Singlr,33,E
WkibtV,30,F,Married,7,B
NOuJEV,40,M,Single,20,D
tRczTi,38,M,Single,15,D
Crhdkh,47,F,Married,14,C
kvDbpN,50,M,Divorced,14,G
iBriSm,61,F,Married,36,A
Wajyvv,50,M,Divorced,30,C
rIjRNo,31,M,Single,12,H
jRPkZx,35,F,Married,10,B
ZpIqZn,34,F,Single,11,H
dryubA,49,F,Married,15,A
nMAf1q,41,M,Separated,14,G
zoueZK,63,M,Single,41,E
qIPbGr,42,M,Single,17,E
sNRmDm,63,F,Married,46,A
Y4UMop,31,F,Single,9,A
CGlgV2,44,F,Single,25,A
41oTKC,40,F,Married,18,E
EJhSrM,35,M,Married,16,A
dwbKBc,24,F,Divorced,5,G
oYcliX,62,F,Married,29,A
c0PgKa,54,F,Married,18,A
QuRW4W,24,M,Single,6,A
NYjGIz,45,F,Single,20,C
Ngnfgp,59,M,Divorced,36,D
vDsrbb,20,M,Single,3,C
hDPqHk,42,M,Divorced,18,C
Qh4VMQ,33,F,Married,12,G
tzMzhK,28,F,Single,8,E
UcCKjj,42,F,Married,23,G
Kvrt13,37,F,Married,19,A
IRiFlL,50,M,Widowed,29,E
MVmXNi,62,M,Married,37,E
v1XEMd,50,M,Married,21,E
g01Suc,72,M,Widowed,43,A
Aajlex,33,F,Married,7,I
YIU2LZ,58,F,Widowed,32,A
apnl3n,53,F,Married,23,B
MLOPGJ,31,F,Married,11,G
ZmcKjC,64,F,Widowed,36,A
zowgoi,36,F,Married,14,D
wFI3Fh,52,M,Single,12,B
TOSCMa,47,M,Single,27,A
TuAfbF,37,F,Single,14,L
QtGtMn,25,M,Married,4,A
MpivMS,30,F,Married,12,H
dWBKgE,19,F,Single,3,H
ncuifp,43,F,Single,24,A
2iLaAv,22,F,Single,3,E
kGitoz,40,M,Single,16,H
gTc1JI,39,F,Married,18,K
2QFPw0,23,F,Single,6,C
TyBK0C,56,M,Married,35,G
eSjoZT,42,M,Married,18,D
awbFfB,23,M,Single,5,E
luxGZH,26,F,Married,7,E
KBjNnH,32,M,Married,12,E
UzWJKz,36,F,Single,19,A
RwotFm,64,F,Widowed,32,G
4JNmzO,33,M,Married,13,H
pYDYBo,39,M,Single,10,A
KLVMz3,40,F,Married,17,A
TslW11,50,M,Divorced,29,A
hotXNB,43,M,Widowed,10,D
1AnLUL,47,F,Married,25,E
Hnkzmj,27,F,Married,8,I
Jz0fM6,28,f,Singlr,10,B
uIpHEu,37,F,Divorced,10,E
hs4HpO,43,M,Single,14,B
f40vkb,46,F,Married,25,A
JRqzw0,28,F,Single,10,D
jRizy2,22,F,Single,4,A
YLLuUi,50,M,Married,33,A
ULTrIe,21,M,Single,2,I
cLMvoQ,54,F,Divorced,37,C
IwOddW,47,F,Married,26,D
lXlqqB,58,F,Married,36,G
c0Pwbu,40,M,Single,12,A
k3OyKH,38,M,Divorced,18,D
zZZH4j,29,F,Single,3,F
NFpTzO,40,M,Married,16,A
BGflYP,27,M,Single,4,C
ioyQ2B,30,F,Married,12,A
tqhAXa,45,M,Married,23,B
oWCugQ,65,M,Married,39,E
tN43xf,55,F,Single,34,A
cAbtBn,54,M,Single,31,B
cv4Yt2,39,F,Widowed,20,B
cVG0eN,28,M,Single,11,L
yJtfxB,25,M,Single,7,E
pkpTqJ,21,M,Single,3,E
0XMJxQ,43,M,Married,20,G
FVrpzV,35,M,Married,18,A
cUFiDO,66,F,Married,38,A
gACzzN,24,M,Single,5,C
BBtSKW,67,F,Divorced,42,D
crHlaw,40,M,Divorced,15,B
N1FqgZ,39,F,Single,20,B
EvVeYs,36,F,Married,11,A
oPJV2N,71,F,Married,41,B
FL4Kc2,43,F,Married,21,A
yAMfiD,52,M,Single,19,E
TQFzbN,23,M,Single,6,K
eoXMbi,38,F,Married,20,C
GiBCEd,42,F,Divorced,19,H
bLOMYK,46,f,Winowed,23,A
N2bBVr,44,F,Married,22,A
BRgB0R,34,F,Married,13,A
rPMQCx,40,M,Married,22,I
YCYpZE,26,M,Single,7,A
h2soDl,19,M,Single,2,D
EOGvZQ,49,M,Single,31,A
hkdQzO,54,M,Married,19,A
HNkoxN,30,F,Widowed,12,A
cX1FEm,37,M,Married,14,B
fijGiQ,51,F,Married,31,B
icHQQF,57,F,Married,32,A
rmvv3T,57,M,Married,24,B
ym1bFU,37,F,Single,19,A
OgrxNZ,33,F,Single,13,E
vPiGQM,59,F,Married,39,J
QZLNlc,43,F,Married,16,A
SzAida,23,F,Single,7,D
fhDJLT,34,F,Single,9,C
rwFcJt,44,F,Married,20,K
J0mgIU,39,M,Widowed,19,J
4brNFN,24,F,Single,3,E
SHWHJr,44,F,Married,18,A
IDXSXK,66,F,Married,38,H
cN2R21,68,F,Married,42,A
AHRJZF,33,M,Divorced,14,A
jNVFPS,27,M,Single,9,D
gjCyj0,43,F,Married,19,C
Z343xV,24,F,Single,7,B
dlzRls,51,M,Married,24,E
aZCX1f,62,F,Married,41,B
ahFGux,28,F,Married,9,A
ouZuXG,40,M,Married,15,A
RGhe0H,31,M,Single,11,C
ARJ4nZ,38,M,Single,17,H
vODmX1,38,M,Single,8,B
e3CtKh,47,F,Married,15,A
eF2OsZ,34,M,Single,15,F
sXGXqC,50,F,Single,30,A
zHbLV3,61,F,Divorced,41,A
tVWW4E,30,M,Single,8,A
Tb2mhn,20,F,Single,3,B
ZDGkwW,62,M,Single,36,B
TkqmHR,44,F,Married,16,A
OpSXXv,86,M,Married,53,A
ze4rQt,45,M,Single,15,B
Ak3qAF,20,F,Single,3,E
vy4OCd,41,F,Married,12,D
XWBVkJ,19,F,Single,2,C
FeQtAx,80,M,Divorced,57,A
VcW3F4,57,M,Married,33,A
JV0HR3,38,M,Married,20,C
SrPwDe,40,F,Separated,19,C
DHOzWr,39,F,Single,17,C
muXpO0,63,M,Divorced,37,C
djdgdr,36,F,Married,10,G
0VTCLk,48,F,Married,31,B
UY4MPz,26,F,Married,10,H
VWMVox,49,M,Married,20,C
3DKIZN,51,F,Married,22,L
cP12ih,77,M,Married,52,D
emZEr1,67,M,Married,40,J
0DIAsL,41,F,Divorced,18,C
F1SfT2,27,F,Widowed,6,D
cd0MDr,29,M,Single,5,B
mUDMPg,36,M,Single,13,B
IoVeku,25,M,Widowed,6,E
LQQU0S,44,F,Single,22,A
DPLFNW,65,F,Divorced,46,A
Mtedxd,41,M,Married,23,B
ONnSla,55,M,Married,31,A
22fCke,31,F,Single,6,C
V2iYvj,28,M,Single,7,B
BNqRNc,55,M,Single,25,H
1FvWEA,33,F,Married,5,C
bq0KDw,47,F,Single,20,A
pS4pZd,58,M,Married,36,A
41gnCd,61,F,Married,38,A
ScTrHy,72,F,Married,33,E
F3H3jp,43,M,Married,17,E
4XJNhE,37,F,Married,16,A
vPF1CM,25,F,Married,7,D
asTmWV,47,F,Married,13,G
QUeSo0,70,M,Married,41,D
iRZkRl,76,F,Married,53,H
zZW1iC,26,M,Widowed,5,B
XUISIc,21,F,Single,4,D
OVXyDH,23,M,Single,6,C
JNaGYD,60,M,Married,22,G
tBTPbI,54,F,Married,28,B
o4mnlp,34,M,Single,14,A
LgclYC,54,F,Married,34,F
2QmqJR,74,F,Married,46,F
mZefGf,23,M,Single,4,E
Fv2Knj,34,F,Single,15,A
JNjDTH,53,M,Single,37,G
T2VtjG,75,F,Married,53,I
xNHshL,61,F,Married,25,A
0QwA2Z,44,M,Single,15,E
EDbTHY,51,F,Married,15,D
gNJuhn,55,F,Widowed,29,I
RaVwRA,32,F,Married,6,G
PjGmx3,28,F,Single,9,C
lhyTfg,75,F,Married,52,C
LjR1ZC,18,M,Single,1,A
4Nyp3T,26,F,Married,8,J
xyfCH4,51,M,Married,30,A
OH1VFk,19,M,Single,3,A
ooNZxt,33,F,Married,15,I
RmaF1w,32,M,Single,11,D
ouyQ0k,52,F,Married,21,E
WUlOwX,30,F,Married,10,B
k2KAKd,48,M,Married,26,A
Isogc4,68,F,Married,29,A
aNHZLr,67,M,Married,38,A
miF1HX,19,F,Married,2,F
hYOBS2,24,M,Single,5,C
AHnxMR,46,F,Married,23,G
d1iwId,39,F,Single,18,A
AT1rid,31,M,Single,12,B
lwORdv,32,F,Married,9,A
PHMfVB,20,F,Single,3,A
kgIN1E,41,M,Single,20,L
ltitzn,40,M,Divorced,13,E
zkQhzn,27,F,Married,10,F
VYNtZk,52,F,Single,29,G
VWD3Rx,41,F,Single,22,F
wEykwC,29,F,Married,8,C
lS4bRC,67,M,Married,30,A
aDjSoF,43,M,Single,18,A
QtNPKh,40,M,Married,18,L
wOWtQH,23,F,Single,6,D
RhUwrM,35,M,Married,15,G
sqmoKm,31,M,Single,14,D
cCUsBm,54,F,Divorced,20,D
bzdIeN,52,F,Single,30,B
sxV0rA,28,M,Single,11,C
t0wbN0,22,M,Single,3,F
LcZjio,57,M,Married,32,E
TZX2c2,47,F,Divorced,16,H
awCEVm,60,F,Married,30,D
meFufM,50,F,Married,20,G
PTvXWp,56,M,Married,37,A
u2cNDc,25,F,Married,8,A
MrEtPb,46,F,Married,28,A
DymcqL,28,F,Married,8,F
BFYLc4,18,M,Single,1,E
ajnfRv,20,F,Single,3,B
SSWSeB,47,M,Married,18,A
Efdf4b,44,M,Single,25,E
BmSUss,53,F,Married,25,A
mJcfQH,71,M,Married,43,H
I4St3p,60,F,Married,24,J
RGrpXA,70,M,Single,48,B
vEuRJi,34,M,Single,9,H
XgwLfG,21,F,Single,2,A
h0ze4A,37,F,Single,19,G
vXUduK,41,M,Widowed,19,E
rpApqz,44,M,Married,21,C
